id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Arakyd Vocabulator Model,InfoCore Size,Cranial Uplink Bandwidth,Repulsorlift Motor HP,Axial Piston Model,Nanochip Model,AutoTerrain Tread Count,Polarity Sinks,Sonoreceptors,Astrogation Buffer Length,Productivity
0,Excavator Botchik Jr.,37.0,26.88288852965376,22.89349829800709,19.532238233788686,16.76714970287504,14.566774602104948,12.900162004430848,11.736874804070249,11.046996361657088,10.801137149393131,10.970441396199345,11.526593732867278,12.441825837210459,13.688923079215773,15.241231166194844,17.072662787935425,19.157704261852782,21.471422178141047,23.98947004492467,26.68809493340971,29.54414412303535,32.53507174662511,35.63894543553839,38.834452964821764,42.100908898360345,45.418261234029345,48.76709804884514,52.12865414411699,55.484817690598206,58.81813687363757,62.111826538330874,65.34977483467202,68.51654986270465,71.59740631767345,74.57829213517553,77.44585513631174,80.18744967283814,82.7911432723175,85.24572328327037,87.54070352032664,89.66633090937712,91.61359213272455,93.37422027423517,94.94070146449019,96.30628152593708,97.46497261804079,98.41155988243548,99.14160808807576,99.65146827638787,99.93828440642132,100.0,99.83536478687428,99.44394134987122,98.82611177004695,97.98308427183775,96.91689986821112,95.6304390058176,94.12742821014223,92.41244673065506,90.49093318596366,88.36919220896387,86.05440109199152,83.55461643197324,80.87878077557832,78.03672926437014,75.0391962799575,71.89782208914556,68.62515948908786,65.23468045243702,61.7407827724974,58.15879670837464,54.504991630128494,50.79658266392347,47.05173733718109,43.289582223729546,39.530209588957575,35.794684034963446,32.1050491457077,28.48433413216391,24.95656047747064,21.546748582082703,18.280924408922473,15.186126128530406,12.29041076421783,9.622860837217887,7.213591011836132,5.093754740603134,3.2955509094233726,1.8522304827319407,0.7981031486395097,0.1685439640879457,0.0,0.3299969864315451,1.1971459577221222,2.6411498976471384,4.702810384567964,7.4240342365855705,10.847840156689198,15.018365377910431,19.980872308471863,25.781755176941285,model B,0.88840878813409,0.24197455556661063,0.03172875901315875,kappa,v1.5,0.5735384022245922,-0.5803320370796696,33.0,47.0,-100.0
1,Excapulverizer Botski II,48.0,54.22541679997364,40.978419152742894,29.92135727350764,20.878092078028416,13.680218976894595,8.166917170008091,4.184798941067061,1.5877589520496282,0.23682353769755746,0.0,0.7521259026771685,2.3747183656640733,4.755823359594168,7.789865000283143,11.377494843212586,15.425441178013614,19.846358322950767,24.558675919405538,29.486448226360157,34.559203414881274,39.711792862603666,44.88424044821399,50.021591845934466,55.07376382000645,59.9953935191745,64.74568777116943,69.28827237719287,73.59104140640042,77.62600649038521,81.36914611766196,84.8002549281509,87.90279300766089,90.66373518237342,93.07342031332635,95.12540059089744,96.81629082928832,98.14561776100798,99.11566933135687,99.73134399290949,100.0,99.93130470320388,99.53708384382276,98.83117084836866,97.82925612304642,96.54873634823673,95.00856377298432,93.22909550947507,91.23194282752482,89.03982044906115,86.67639584260654,84.16613851776349,81.53416931969755,78.80610972362037,76.00793112927462,73.16580415541749,70.30594793430313,67.45447940616705,64.63726261371154,61.8797579965873,59.20687168587525,56.64280479857654,54.21090273209099,51.933504458699844,49.831791820055514,47.92563882166069,46.23346092735063,44.77206435378186,43.55649536491158,42.59988956648396,41.91332120051271,41.50565243976594,41.38338268224637,41.550497845680134,42.00831966199711,42.755354971814036,43.78714501892203,45.09611474476691,46.67142208293103,48.498807253627405,50.56044205816873,52.83477917345808,55.29640144647786,57.91587118876528,60.65957947089798,63.48959541698404,66.36351549913402,69.234312831954,72.05018646703162,74.75441068740419,77.28518430205767,79.57547994041363,81.55289334679266,83.13949267491523,84.2516677823845,84.79997952516237,84.68900905204805,83.81720709919124,82.07674328453514,79.35335540232732,75.52619871760314,model B,0.8482902665547437,0.2199527734419835,-0.13226428880501978,kappa,v1.5,0.5421645590757808,-0.5688257271148259,30.0,33.0,-100.0
2,Wallpulverizer Botberg Jr.,43.0,0.0,1.2773712063814942,2.6011907962901626,3.9705789030180543,5.384590638070956,6.842215050831868,8.34237422562811,9.883922516202293,11.465645917586851,13.086261575382435,14.74441743243992,16.438692012946234,18.16759434391382,19.929564014073865,21.722971370173283,23.54611785067533,25.397236456864043,27.274492361352344,29.175983653993836,31.099742225198447,33.043734786651626,35.005864029437404,36.983969919565105,38.9758311308998,40.979166615496474,42.99163731133792,45.01084798747638,47.03434922657887,49.05963954487624,51.084167649515976,53.105334833318686,55.12049750693837,57.126969868426336,59.1220267101989,61.10290636340879,63.066813779720256,65.01092375048792,66.93238426333932,68.82831999616127,70.6958359484898,72.53202121030394,74.33395286822315,76.09870004910852,77.82332810106764,79.50490291186331,81.1404953647258,82.72718593156891,84.26206940360991,85.74225975939294,87.16489517021616,88.52714314296297,89.82620580033648,91.05932529849795,92.22378938210905,93.31693707677752,94.33616451890697,95.27893092294994,96.14276468606509,96.92526963017791,97.62413138144518,98.23712388712309,98.76211606983925,99.19707861926832,99.54009092121126,99.78934812407861,99.94316834277701,100.0,99.95842930492215,99.81718786929697,99.57516046095873,99.23139289472778,98.78510006071971,98.2356740900583,97.58269265799196,96.82592742441413,95.96535261178727,95.00115372047073,93.93373638145195,92.76373534648194,91.49202361561412,90.11972170214685,88.64820703496999,87.07912349831473,85.41439110890771,83.6562158305283,81.80709952597002,79.86985004640526,77.84759145815448,75.74377440685812,73.56218661905295,71.30696354115204,68.98259911582821,66.59395669580132,64.1462800950296,61.64520477730384,59.09676918224655,56.50742618871376,53.884054715600726,51.23397146005241,48.564942773075856,model A,0.7135805303973904,0.08084369357545518,0.09241691900755056,kappa,v1.0,0.42642815366512543,-0.4376530410946704,40.0,70.0,-75.06415077460386
3,Excaborer Botski Jr.,23.0,9.17992972982303,5.357671817016003,2.606259449328619,0.8473427696988879,0.0038251845833898795,0.0,0.7616808238040661,2.216325734197942,4.293155214473952,6.923263853990765,10.039725815383122,13.57769406800507,17.47449338760646,21.669707122243004,26.10525772441959,30.725481049467092,35.47719442015255,40.30975845752278,45.17513267798137,50.027924856599036,54.82543415665751,59.52768802542665,64.0974728561751,68.50035841641434,72.70471604237606,76.6817305997229,80.4054062104929,83.85256574627694,87.00284408762973,89.83867514971456,92.3452726741807,94.51060478727507,96.32536232418647,97.78292091962403,98.87929686462853,99.613096729617,99.98546075366149,100.0,99.66272727778257,98.98198183004898,97.9683477879404,96.63456639114574,94.99544197457952,93.06774172129373,90.87008918162455,88.42285155856953,85.74802075940151,82.86908821351332,79.8109134564969,76.59958648045709,73.26228385055506,69.82711858779018,66.32298381801202,62.779390187164395,59.22629704276912,55.69393738163414,52.212636563803784,48.8126247927361,45.52384336171764,42.37574466650773,39.39708598422131,36.61571701844074,34.05836121056139,31.750390817375497,29.715595754880216,27.975946208330747,26.55134900851569,25.45939777427379,24.71511682123945,24.330698836825473,24.315236321433858,24.674446795904593,25.410391775199532,26.52118950831217,28.000721484416502,29.83833270524887,32.01852572372214,34.52064844877365,37.31857571644581,40.38038462720072,43.668023649469504,47.136975489431855,50.73591372703311,54.406353218228645,58.08229426347184,61.6898605424208,65.14693081489591,68.36276438805375,71.23762034980703,73.6623705684727,75.51810645865177,76.67573951334853,76.99559560231401,76.32700303663388,74.50787439954154,71.36428214346641,66.71002795331667,60.346205875999125,52.060759216160804,41.62803119818058,model B,0.6680746482751572,0.054792286468374196,0.11272687518267044,kappa,v1.0,0.3797875356227498,-0.3535473913044266,83.0,53.0,-22.810973903773828
4,Rockhauler Botchik,44.0,47.121679378394475,37.23657180839621,28.692439541835352,21.416039935196526,15.334827546672617,10.377069739398127,6.471957906183515,3.5497143157505713,1.5416945804687292,0.3804857455925311,0.0,0.33556400843208783,1.3240038652330988,2.903725669592205,5.014791722285911,7.598992343921515,10.599913314681734,13.962998935570148,17.635610711157867,21.567081653830943,25.708766209539206,30.014085805045674,34.43857001667731,38.93989336057659,43.477907704454374,48.01467030084319,52.51446744185255,56.94383373542412,61.2715670030887,65.46873879922413,69.50870055181392,73.36708532470678,77.02180520137816,80.45304429019143,83.64324735116105,86.5771040442165,89.24152879896678,91.62563630596696,93.72071262948447,95.52018194176773,97.0195688788144,98.21645651764182,99.11043997505836,99.7030756279342,99.99782595497615,100.0,99.71668945670685,99.15670037495867,98.33048048855538,97.25004216451339,95.92888097384431,94.38188988383523,92.62526907182995,90.676431360512,88.55390327468616,86.27722171956407,83.86682628054969,81.3439471445241,78.73048864263436,76.04890841458146,73.3220921944085,70.57322421779266,67.8256532508364,65.10275424035832,62.42778558568841,59.82374203196154,57.31320318491315,54.9181776471761,52.65994277607662,50.55888006293525,48.634306133865444,46.904299372072494,45.38552216165602,44.09303875291494,43.04012874914908,42.23809621496033,41.696074406066614,41.420826120601426,41.416539671922145,41.68462048292371,42.22347830184285,43.02831003957259,44.090878228470835,45.39928510267709,46.93774229992114,48.686336184842474,50.62078879380424,52.71221440121009,54.92687170732129,57.225911647578975,59.56512082341806,61.894660554594175,64.15880155300238,66.29565421800098,68.23689455323739,69.90748570496663,71.22539512188439,72.10130733645535,72.43833236773128,72.13170974569061,model B,1.1284687587215143,0.5024059213889343,0.006918360052974526,kappa,v0.5,0.8165327764211403,-0.8025026402836015,31.0,67.0,-81.24308712196594
5,Wallhauler Botsky,75.0,23.274127089377057,18.316662756988553,14.027930744918358,10.375228248142761,7.326480549366768,4.850241019024089,2.9156911152771476,1.49264038401707,0.5515264588637002,0.06341506116559122,0.0,0.33360317217289054,1.037174562218952,2.0842922424015637,3.44916237271283,5.1066192008735625,7.032125062333271,9.201770380270178,11.592273665591243,14.180981516932087,16.945868620657055,19.86553775085928,22.919219769360446,26.086773625711103,29.348686357190417,32.686073088806324,36.08067703329538,39.514869491122916,42.97164985048308,46.434645587298455,49.88811226522058,53.31693353562957,56.70662113763439,60.043314898072474,63.31378273151025,66.50542064024269,69.60625271429336,72.60493113141494,75.49073615708834,78.25357614452344,80.88398753465886,83.37313485616178,85.7128107254283,87.8954358465829,89.91405901147915,91.76235709969903,93.43463507855336,94.92582600308162,96.23149101605225,97.34781934796194,98.27162831703646,99.00036332923005,99.53209787822581,99.8655335454357,100.0,99.93545499878795,99.67248438639739,99.21230209515495,98.55675014511618,97.70829864406498,96.67004578751384,95.44571785870438,94.03966922860685,92.45688235592011,90.70296778707181,88.78416415621798,86.70733818524361,84.4799846837626,82.11022654911756,79.60681476637926,76.97912840834753,74.23717463555127,71.39158869624728,68.4536339264218,65.43520174978974,62.34881167779377,59.20761130960661,56.025376332128594,52.81651051998999,49.596045735548444,46.37964192889058,43.18358713783262,40.0247974879187,36.920817192422184,33.88981855234474,30.95060195641623,28.122595881096256,25.425856890572778,22.881069636762845,20.509546859311342,18.33322938559176,16.374686130707477,14.657114097489588,13.204338376499017,12.040812146023768,11.19161667208209,10.68246130841949,10.53968349651176,10.7902487655618,11.46175073250251,model A,0.6851359723686206,0.07141755976326003,-0.33395727555488675,kappa,v1.0,0.386875456361628,-0.39976155611445746,59.0,35.0,-100.0
6,Rocklift Botchik,87.0,39.154051880036675,35.92742840422619,33.278589254530566,31.174057217832928,29.581087059725203,28.46766552450809,27.80251133519107,27.555075193492407,27.69553977983913,28.194819753367078,29.024561751920835,30.15714439205378,31.565678269028098,33.224005956814715,35.106702008093364,37.189072954252545,39.44715730538952,41.85772555031038,44.39828015652995,47.047055570271866,49.78301821646855,52.585866498761156,55.43603079949967,58.31467347974284,61.20368887925815,64.08570331652196,66.94407508871934,69.76289447174416,72.52698372019907,75.22189706739547,77.8339207253536,80.3500728848024,82.7581037151797,85.04649536463205,87.20446196001474,89.2219496068919,91.08963638953638,92.79893237092993,94.341979592763,95.71165207543469,96.90155581805315,97.9060287984351,98.72014097310613,99.33969427730067,99.76122262496163,99.98199190874128,100.0,99.81397674880735,99.42338398394179,98.82841551288988,98.029997121848,97.0297865757203,95.83017361812041,94.4342799713705,92.84595933650118,91.06979739325264,89.11111180007298,86.97595219411963,84.6711001912588,82.20406938606502,79.5831053518222,76.81718564052261,73.91601978286724,70.89004928826657,67.75044764483864,64.50912031941172,61.17870475752147,57.77257038341326,54.30481860004128,50.7902827890672,47.24452831086349,43.68385250450984,40.12528468779531,36.58658615721794,33.08625018798323,29.643502034007984,26.278298927915557,23.01133008103862,19.864016683419063,16.85851190380733,14.017700889663207,11.36520076715387,8.92536064115609,6.723261595256049,4.784716691747715,3.136270971634636,1.8052014546280126,0.8195171391488509,0.2079590023266591,0.0,0.22584506671556254,0.9164311157291984,2.10342703900543,3.8192337072172955,6.09698396974804,8.97054265468751,12.474506568835743,16.644204497701644,21.515697205501745,27.125777435162775,model A,0.7180229500684832,0.09690848177010303,0.0016658835036978958,kappa,v1.0,0.425750566545976,-0.4424920372245727,9.0,8.0,-100.0
7,Rockwalker Botberg,86.0,9.807243670714112,6.333993818795116,3.675321363381749,1.772035693443481,0.5659527750899818,0.0,0.018316075546606546,0.5663459566187145,1.590930819138865,3.0403930752773904,4.864616430362837,7.015120981488693,9.445133357816475,12.10965190257501,14.96550689675617,17.971415824506757,21.08803368021685,24.277998317304288,27.50597083869566,30.738671029003363,33.944907828399195,37.09560484818413,40.163820928054335,43.12476573506371,45.955810404282474,48.636493221152286,51.14852034553748,53.475761577472866,55.60424116460735,57.522123651344394,59.219694769678746,60.689337371728755,61.925502403966135,62.92467492314091,63.68533515390349,64.20791458812276,64.49474712590029,64.55001525828101,64.37969129166045,63.99147361388776,63.394718002065375,62.600363972045216,61.620856169620296,60.47006080341386,59.16317711946403,57.71664391750445,56.14804110894249,54.4759863165327,52.72002651574622,50.900524717838145,49.0385416946097,47.15571274486711,45.274119502577,43.416156786718204,41.60439449282885,39.861434526251585,38.209762777073195,36.6715961367625,35.26872455650179,34.02234814721775,32.95290932130606,32.07991997605507,31.421783718761485,30.995613133548517,30.817042089872388,30.90003309273377,31.256679674578518,31.897003828900278,32.82874848553235,34.057165027645226,35.58479585043134,37.41125196149199,39.53298562291908,41.94305803507088,44.63090206204762,47.58207999886327,50.778036380307114,54.19584583151346,57.807955960212766,61.58192529069656,65.48015623946061,69.45962313255897,73.4715952646448,77.46135499971274,81.3679109135374,85.1237059778022,88.65432078593571,91.87817182062979,94.70620476306738,97.04158284384184,98.77937023556528,99.80621048718812,100.0,99.2295565453365,97.35428282397932,94.2238250672514,89.67772667981163,83.54507692414185,75.64415464673287,65.78206704596535,model A,0.516846967583777,-0.13847184516820044,-0.2506979472353679,zeta,v2.0,0.18721539390978634,-0.15877690414896445,16.0,72.0,-60.87724810792804
8,Pushlift Botski II,73.0,42.62576323745427,30.958888742188496,21.45046216838795,13.91644011597808,8.18118780602742,4.077309756601253,1.4454804586152374,0.1342750516890348,0.0,0.9065237681367818,2.725107496952961,5.334235679420738,8.619446836484531,12.473164192914627,16.79452635316086,21.489217977206202,26.46930045642043,31.653042589413754,36.96475125789043,42.33460210250266,47.69847019870369,52.99776073260208,58.179239676814866,63.194864466321434,68.00161467431708,72.56132268806671,76.84050438475857,80.81018980735763,84.44575384045937,87.72674688614354,90.63672553982755,93.16308326612024,95.29688107467594,97.03267819604697,98.36836275753863,99.30498245906199,99.84657524898782,100.0,99.77476718494972,99.18286955270833,98.23861280402194,96.95844626736397,95.36079357478941,93.4658833377888,91.29557982314111,88.87321362876794,86.22341235958655,83.37193130336495,80.34548410657372,77.17157345023942,73.87832172580147,70.49430171096198,67.04836724554208,63.56948390733351,60.08655968795304,56.62827566869786,53.22291669639624,49.89820205926283,46.68111616275258,43.597739205412054,40.673077854738956,37.93089592302765,35.39354504322753,33.081795344798856,31.014666129558766,29.209256547545692,27.680576272859646,26.44137617953049,25.501979017359815,24.870110087778922,24.5507279197074,24.54585494539424,24.854408176287965,25.472029878873435,26.39091825053742,27.59965809542132,29.083051500264943,30.821948510273778,32.793077804960134,34.96887737400836,37.317325193118926,39.801769899864155,42.3807614695516,45.007881891059,47.6315758427073,50.19498136809971,52.63576055198384,54.88593019610699,56.871692495053026,58.51326571212332,59.72471485516583,60.41378235244057,60.48171872847846,59.823113279911055,58.3257247513585,55.87031201125446,52.33046472771857,47.5724340443926,41.45496325631039,33.829118485745866,model B,0.3995406673114471,-0.24267447086275287,-0.004553389556628873,zeta,v2.0,0.09207905141047862,-0.1027797138338935,80.0,0.0,-45.669496630551606
9,Waterdigger Botberg,53.0,54.15262254268297,40.15545564655886,28.61869836930221,19.332830484051243,12.098009398776426,6.723872684209445,3.02934060177222,0.8424186315059267,0.0,0.34766820832110823,1.739499559942221,4.037865688671502,7.113236086581447,10.843980631937802,15.116172117128604,19.823388776593227,24.86651681475115,30.153552933931365,35.59940686230115,41.12570388179493,46.66058735604352,52.13852125830321,57.50009269938434,62.69181445558063,67.66592749659846,72.38020351348507,76.79774744655855,80.88680001333573,84.62054023646226,87.97688797164122,90.93830643556161,93.49160473382808,95.62774038888966,97.34162186796874,98.63191111099013,99.50082605850982,99.95394317964451,100.0,99.65069762960094,98.9205032908185,97.82645284630141,96.38795332690293,94.62658545961158,92.56590619547822,90.2312512375471,87.6495375687836,84.84906598000356,81.85932359780168,78.71078641248201,75.43472180598663,72.06299107982181,68.62785198299115,65.16176123992106,61.69717707839507,58.26636175747575,54.901184095437884,51.63292199769586,48.49206498473709,45.50811672004348,42.70939753802712,40.12284697195513,37.77382628187987,35.68592098257034,33.880743371438186,32.377735056464495,31.193969484137714,30.34395446737127,29.839434713443293,29.6891943519138,29.898859462568133,30.470700603331096,31.40343533821155,32.69203076521136,34.32750604427686,36.29673492521049,38.58224827560978,41.162036608789464,44.009352611717986,47.09251367293811,50.3747044105034,53.813779199902854,57.3620647019941,60.96616239092153,64.56675108206005,68.09838945993715,71.48931860616058,74.66126452734265,77.52924068304895,80.00135051369803,81.97858996852007,83.35465003346397,84.01571925913512,83.84028628872369,82.69894238593675,80.45418396292314,76.96021510819881,72.0627501145825,65.5988160071275,57.39655507103999,47.275027379617526,model A,0.7901989855561219,0.1628920751399704,0.14201788225443657,kappa,v1.5,0.5167397527230374,-0.5590882009846786,45.0,78.0,-44.83263112605995
