id,name,expires,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,Polarity Sinks,Arakyd Vocabulator Model,Axial Piston Model,Nanochip Model,Sonoreceptors,Astrogation Buffer Length,Cranial Uplink Bandwidth,InfoCore Size,Repulsorlift Motor HP,AutoTerrain Tread Count,Productivity
0,Thumphauler Boterson Jr.,84.0,20.888617856955076,15.153289262197534,10.453645590511782,6.7157535217840385,3.8684780575642423,1.843436038570463,0.5749496621932348,0.0,0.05818051523943274,0.6916505803458738,1.845088994443687,3.4656475008516403,5.502904304587329,7.908817589871486,10.637679037632434,13.646067343010436,16.892801732862125,20.338895483264793,23.94750943702086,27.683905521162245,31.51540026445471,35.41131831490226,39.342945957251594,43.28348463049636,47.20800444538166,51.09339770190837,54.918332406837514,58.66320579119473,62.31009782777455,65.84272474864474,69.24639256265102,72.50795057292098,75.61574489436877,78.55957197119935,81.33063209441296,83.92148291930957,86.32599298299299,88.53929522187546,90.55774048918201,92.37885107245503,94.00127421105809,95.424735613681,96.64999297584352,97.67878949740067,98.51380740004626,99.15862144481721,99.61765244959892,99.89612080662846,100.0,99.9359701231686,99.71137139645421,99.33415768454734,98.8128500140118,98.15649009079073,97.37459381771002,96.47710481198234,95.47434792271243,94.37698274840146,93.1959571544501,91.94246079066478,90.62787860876091,89.26374437986708,87.86169421203056,86.43342006772052,84.99062328133266,83.5449680766945,82.108035084569,80.69127486015799,79.3059614006092,77.96314566251833,76.67360907943332,75.44781707936052,74.2958726022683,73.2274696175906,72.25184664173185,71.37774025557216,70.6133386219709,69.9662350032701,69.44338127880118,69.05104146238837,68.79474521985102,68.67924138651117,68.7084514846971,68.88542324124488,69.21228410500653,69.69019476435389,70.31930266467973,71.09869552590581,72.02635485998675,73.09910948841024,74.31258905970802,75.66117756695562,77.13796686527941,78.73471018935675,80.44177567092429,82.24809985628487,84.14114122380369,86.10683370142078,88.12954018414835,90.19200605158187,-33.47393758187832,model B,kappa,v1.0,0.4117246300810098,0.5629881204804664,-0.4927580603441478,0.551263956295733,17.0,48.0,32.06946053490174
1,Pullwaller Botchik,88.0,15.211145621817804,9.936077920540628,5.891544799733128,2.9731199209525556,1.0810653887006014,0.12023875100480286,0.0,0.634118572509754,1.9406803506277275,3.8419946622991823,6.264501281902351,9.13867743082985,12.398944778070184,15.983576440789083,19.834603984910952,23.89772442570033,28.122207228343264,32.4608013085288,36.8696420330303,41.30815822028702,45.73897914098535,50.12784151864036,54.44349653017727,58.65761680651273,62.744703433136394,66.68199295069215,70.44936435555978,74.02924610043617,77.40652309491693,80.56844370607776,83.50452675905562,86.20646853763056,88.6680497848068,90.88504270339452,92.85511795659095,94.57775166856199,96.05413242502333,97.28706827382237,98.28089372551932,99.04137675396856,99.57562579690062,99.89199675650244,100.0,99.9102073602395,99.634159136268,99.18427109391573,98.57374146637729,97.81645795479237,96.92690472882883,95.92006942726195,94.81135015855808,93.61646250145364,92.35134650553915,91.03207369183883,89.6747540533919,88.29544305583605,86.91004863798669,85.53423821241881,84.18334566604915,82.87227836071727,81.61542413376853,80.4265582986299,79.31875064539898,78.30427244142068,77.39450343187023,76.59983884033379,75.92959636938988,75.39192320119106,74.99370299804718,74.74046290300352,74.63628054042547,74.6836910165748,74.88359392019875,75.2351603231049,75.73573978074548,76.3807673327985,77.16367050374889,78.07577630347133,79.10621822780703,80.24184325914943,81.46711886702893,82.76404000868364,84.11203612965443,85.48787816435032,86.86558553664673,88.21633316045583,89.50835844030733,90.70686827194271,91.7739460428764,92.66845863299791,93.34596341513868,93.75861525565871,93.85507351502879,93.58040904841394,92.87601120624332,91.67949483480896,89.92460727683603,87.54113537206236,84.45481245782943,80.5872253696555,21.45649248822545,model E,beta,v0.5,0.8619056666414434,0.895171296075413,-0.011717714572593074,0.0350075322309735,2.0,32.0,-1.6412046083030418
2,Excawaller Botsky,50.0,0.0,6.9800803446892825,13.611639889711066,19.9055712983878,25.872602892319712,31.523298651384824,36.86805821373897,41.91711687581575,46.6805455923266,51.16825097626072,55.38997529888512,59.35529648974461,63.07362813666176,66.55421948573702,69.80615544134852,72.83835656615229,75.65957908108209,78.27841486534949,80.70329145644389,82.94247205013244,85.00405550046011,86.89597631974965,88.62600467860166,90.20174640589447,91.63064298878422,92.91997157270482,94.07684496136808,95.1082116167635,96.02085565915843,96.82139686709795,97.51629067740504,98.1118281851804,98.61413614380254,99.0291769649278,99.36274871849024,99.62048513270177,99.80785559405213,99.93016514730883,99.99255449551707,100.0,99.95731368035847,99.86914321447125,99.73997193849466,99.57411884686312,99.37573859228867,99.14882148576105,98.89719349654803,98.62451625219502,98.33428703852533,98.02983879963993,97.71434013791769,97.39079531401526,97.062044246867,96.73076251368533,96.39946134995996,96.0704876494591,95.74602396422803,95.42808850459036,95.11853513914723,94.81905339477755,94.53116845663827,94.25624116816397,93.99546803106698,93.74988120533749,93.52034850924356,93.30757341933086,93.11209507042302,92.9342882556214,92.77436342630531,92.63236669213141,92.50817982103463,92.40152023922758,92.31194103120066,92.23883093972167,92.18141436583689,92.1387513688701,92.10973766642252,92.09310463437367,92.08741930688063,92.09108437637845,92.10233819357964,92.11925476747491,92.13974376533234,92.16155051269833,92.1822559933964,92.19927684952862,92.20986538147432,92.2111095478908,92.19993296571313,92.1730949101541,92.12719031470455,92.05864977113288,91.96373952948548,91.83856149808612,91.67905324353686,91.48098799071744,91.23997462278521,90.95145768117523,90.61071736560083,90.21286953405277,77.43412641699311,model B,kappa,v1.0,0.5312587515131204,0.5461507345774791,-0.5856281445140497,0.5913067675693635,72.0,51.0,-3.986759151031663
3,Stonewalker Botski,30.0,0.0,3.8085488566891703,7.562132185242844,11.258565636941066,14.895750233687249,18.47167236800814,21.984403803053816,25.432101672597746,28.813008481036707,32.12545210339084,35.36784578530362,38.53868814304191,41.63656316349586,44.66014020417899,47.608173993228206,50.47950462940369,53.27305758208906,55.9878436912912,58.622959167640374,61.177585592390194,63.65098991741763,66.04252446522297,68.3516269289299,70.57782037228537,72.72071322965978,74.77999930604678,76.75545777706343,78.64695318895014,80.4544354585706,82.17793987341193,83.81758709158453,85.37358314182222,86.84621942348213,88.23587270654468,89.54300513161371,90.76816420991642,91.91198282330329,92.97517922424822,93.95855703584836,94.86300525182429,95.68949823651998,96.43909572490259,97.11294282256274,97.71227000571443,98.23839312119489,98.69271338646477,99.0767173896081,99.3919770893322,99.64014981496773,99.82297826646872,99.94229051441256,100.0,99.99810553505506,99.9386913020252,99.82392685398118,99.65606711461706,99.4374523782504,99.17050830982194,98.85774594489583,98.50176168965962,98.10523732092413,97.67093998612356,97.20172220331543,96.7005218611807,96.17036221902354,95.6143519067716,95.03568492497575,94.4376406448103,93.8235838080729,93.1969645271845,92.56131828518942,91.92026593575535,91.27751370317327,90.6368531823576,90.00216133884605,89.37740050879964,88.76661839900278,88.17394808686325,87.60360802041215,87.0599020183039,86.54721926981632,86.07003433485056,85.63290714393108,85.24048299820579,84.89749256944579,84.60875190004568,84.37916240302324,84.21371086201985,84.1174694313,84.09559563575154,84.15333237088586,84.29600790283746,84.52903586836446,84.85791527484807,85.28823050029295,85.82565129332713,86.47593277320202,87.24491542979217,88.13852512359574,89.16277308573407,-42.047035379955354,model E,beta,v0.5,0.8963064972165327,0.9955871810565162,-0.03308405261018044,-0.06009706782585755,56.0,23.0,-2.6473546354254722
4,Pullwaller Botski,67.0,41.14270035928821,33.93566273899013,27.539712167474985,21.915855922673032,17.025885938514467,12.832378804929379,9.29869576784777,6.3889827291995465,4.068170246914543,2.3019735349224786,1.0568924631530148,0.3002115575357032,0.0,0.1251116284752854,0.6451849368908456,1.5306430751758784,2.7526938492595,4.283329721070708,6.095327808538467,8.162249885591578,10.458442382158804,12.959036384168831,15.639947633550161,18.477876528231345,21.450308122140775,24.535512125206687,27.712542903357384,30.96123947852092,34.26222552862529,37.59690938759858,40.94748404536857,44.296927147862924,47.6290009970095,50.92825255073574,54.18001342296923,57.37039988363738,60.48631285866746,63.51543792998672,66.44624533552214,69.26798996920103,71.97071138095026,74.54523377669673,76.98316601836711,79.27690162388811,81.41961876718644,83.40528027818851,85.22863364282087,86.88521100300967,88.37132915668123,89.68408955776188,90.82137831617744,91.78186619785383,92.56500862471732,93.17104567469335,93.60100208170782,93.85668723568614,93.94069518255394,93.85640462423703,93.60797891866007,93.2003660797489,92.6392987774283,91.93129433762353,91.0836547422598,90.10446662926147,89.00260129255375,87.78771468206138,86.47024740370857,85.06142471942071,83.57325654712113,82.0185374607352,80.41084669018683,78.7645481213998,77.09479029629897,75.41750641280754,73.74941432485018,72.10801654235031,70.5116002312313,68.9792372134181,67.5307839668325,66.1868816253993,64.96895597904151,63.899217473682,63.000661211244946,62.29706694965218,61.812999102827824,61.573806740694245,61.605623589174186,61.93536803019156,62.5907431016669,63.60023649752474,64.99312056768669,66.79945231807478,69.05007341061267,71.77661016322115,75.01147354982302,78.78785920034012,83.13974740069428,88.10190309280861,93.70987587460273,100.0,-27.5416977683101,model B,kappa,v1.0,0.3172581709776605,0.34006212159210486,-0.7272188246123807,0.5551163249833903,75.0,13.0,52.52639351616051
5,Pulllift Botski,71.0,5.920532377753165,3.8239686912854323,2.209869624281079,1.0517235324500835,0.3235700320728062,0.0,0.05615557365278158,0.46773015102266985,1.2109683906715474,2.262666211731709,3.6001707939058116,5.201380577466889,7.044745263258391,9.109265812694117,11.374494447758277,13.820534651005431,16.428041165560554,19.178219995119,22.052828403946485,25.034174916879138,28.105119319323446,31.249072657256292,34.449997237224956,37.692406626347065,40.96136565231067,44.24249040337416,47.521948228366355,50.786457736686444,54.023288798303994,57.22026254375891,60.3657513641616,63.44867891119274,66.45852009710342,69.38530109471512,72.2195993374198,74.95254351917957,77.57581359452713,80.0816407785655,82.4628075469681,84.7126476359787,86.82504604241149,88.79443902365098,90.61581409765209,92.28471004294025,93.79721689861104,95.14997596433065,96.34017980033549,97.36557222743235,98.2244483269986,98.91565444098181,99.43858817189994,99.79319838284142,99.97998519746506,100.0,99.8548454352457,99.54667540857204,99.0781950859197,98.45266089379888,97.67388051929092,96.74621291004715,95.67456827428947,94.46440808081019,93.12174505897191,91.65314319870761,90.06571775052046,88.36713522548447,86.56561339524372,84.66992129201259,82.68937920857613,80.6338586982895,78.51378257507852,76.34012491343928,74.12441104843799,71.87871757571193,69.61567235146805,67.34845449248358,65.09079437610691,62.85697364025678,60.66182518342092,58.52073316465932,56.44963300360103,54.465011380445915,52.583906235964776,50.823906771497796,49.20315344895646,47.740337990821466,46.45470338014518,45.36604386055003,44.49470493622778,43.86158337194224,43.48812719302619,43.39633568538367,43.60875939548843,44.14850013038564,45.039210957689235,46.30509620558542,47.97091146282954,50.06196357874695,52.604110663235105,55.62376208676043,17.545001033650948,model B,alpha,v1.0,0.5459023547278642,0.7328172635919777,-0.3843106252261916,0.4141368961741282,54.0,19.0,95.07085791290172
6,Thumphauler Boterson,92.0,38.5521706685353,30.050148746191834,22.779343484186906,16.663119760737867,11.625927739609873,7.593433099345721,4.492641480222457,2.2520171489347924,0.8015958810053588,0.07309206092166216,0.0,0.5176894719759686,1.5634954663219944,3.076802159291462,4.999121102689821,7.274163630372279,9.847907482468646,12.66865764733447,15.687101421229524,18.856357685722646,22.132020402823667,25.472196327841896,28.83753693997178,32.191264590604874,35.49919286936905,38.729741187894135,41.85394358130483,44.84545172743967,47.680532183797816,50.33805784221161,52.79949360124654,55.048876256328086,57.0727886075947,58.8603277854785,60.40306779401189,61.69501627186186,62.73256547108977,63.51443745364005,64.04162350555298,64.31731776890706,64.34684509148569,64.13758309417264,63.698878456073004,63.04195741736148,62.17983049985766,61.12719144532767,59.900310371512845,58.51692114588434,56.99610297712757,55.35815622434851,53.624472424011095,51.817398534600265,49.9600953990095,48.07639042465949,46.190624481338496,44.32749301677485,42.51188138993182,40.76869442203077,39.122680165303485,37.59824788946632,36.2192802859268,35.00893988971311,33.98946971913057,33.18198813314628,32.606277906501596,32.28056952254906,32.22131868381624,32.442978040297646,32.95776313547409,33.77541257005496,34.902942383454636,36.34439465298511,38.100580310786555,40.168816178477535,42.54265621953376,45.21161700939416,48.16089742329331,51.371092541822584,54.81790177421342,58.471831199351676,62.297890124519824,66.25528186185772,70.29708872256606,74.36995122881213,78.41374154339157,82.36123111709082,86.13775255379885,89.66085569332036,92.83995791194258,95.57598864071385,97.76102810144364,99.27794026044761,100.0,99.79051450752985,98.50243888253131,95.97798596120172,92.04823035882343,86.53270672984547,79.23900224570953,69.96234329040651,71.12885194898465,model B,gamma,v1.0,0.5103625393207039,0.5198262888940075,-0.5475098657727471,0.4972332487662002,89.0,42.0,41.75051190455197
7,Pushminer Botski,92.0,37.73715519113961,30.946576405012927,24.936233362997562,19.66931723457645,15.109730651545226,11.222087708012214,7.971713960398473,5.32464642743774,3.247633590176482,1.7081353919738615,0.6743232385017354,0.11507999774468801,0.0,0.29938903787765875,0.9842643663003531,2.0263547025034843,3.398100226035149,5.072652578756158,7.023874864840055,9.22634165077303,11.655338965354014,14.286864299694656,17.09762660721931,20.06504630366501,23.16725526708147,26.383096837831204,29.69212581858937,33.0746084743438,36.511522532395155,39.9845571823566,43.47611307615422,46.96930232802667,50.447948514525365,53.89658667451437,57.300463309170546,60.64553638198342,63.918475318755206,67.10666100760075,70.19818579894795,73.18185350553686,76.04717940242054,78.78439022696494,81.3844241788484,83.83893092006215,86.14027157490993,88.28151873000854,90.25645643428717,92.05958019898769,93.68609699766488,95.13192526618627,96.39369490273171,97.46874726779417,98.35513518417929,99.05162293700509,99.55768627370267,99.87351240401556,100.0,99.93875919602533,99.69211158877302,99.26309023723788,98.65543966272683,97.8736158488595,96.92278624156911,95.80882974910054,94.53833674201178,93.11860905317343,91.5576599777693,89.86421427329547,88.04770815955992,86.11828931868534,84.08681689510556,81.964861495567,79.76470518912957,77.4993415071662,75.18247544336099,72.82852345371249,70.45261345653101,68.07058483243964,65.69898842437382,63.35508653758259,61.056852939627625,58.822972860382016,56.6728429920327,54.626571489080064,52.704977968335285,50.92959350892286,49.32266065228093,47.907133402160106,46.706677224622375,45.74566904804388,45.0491972631134,44.6430617228315,44.553773742511694,44.808556099780475,45.43534303457824,46.462780249154875,47.920224908076214,49.83774563821984,52.246122528775516,55.17684713124513,62.73904683388116,model B,gamma,v1.0,0.6244744474592582,0.690561121670252,-0.5249737719217946,0.500106478464426,81.0,74.0,1.6133180468035562
8,Wallborer Botski,61.0,0.0,2.4242473965180564,4.819550861321678,7.185880088499433,9.523204772139891,11.831494606331619,14.11071928516319,16.360848502723172,18.58185195310014,20.77369933038267,22.936360328659315,25.069804642018656,27.174001964549266,29.248921990339703,31.29453441347855,33.31080892805438,35.29771522815575,37.25522300787124,39.1833019612894,41.08192178249883,42.95105216558809,44.79066280464575,46.600723393760376,48.381203627020525,50.1320731985148,51.85330180233174,53.54485913255994,55.20671488328796,56.83883874860436,58.44120042259773,60.013769599356614,61.556515972969606,63.06940923752528,64.55241908711218,66.00551521581889,67.42866731773398,68.82184508694604,70.18501821754361,71.51815640361527,72.8212293392496,74.09420671853515,75.33705823556049,76.54975358441423,77.73226245918491,78.8845545539611,80.00659956283137,81.0983671798843,82.15982709920844,83.19094901489241,84.19170262102472,85.16205761169398,86.10198368098872,87.01145052299755,87.89042783180902,88.7388853015117,89.5567926261942,90.34411949994504,91.10083561685279,91.82691067100606,92.52231435649337,93.18701636740336,93.82098639782453,94.42419414184549,94.99660929355478,95.53820154704101,96.04894059639271,96.52879613569849,96.97773785904687,97.3957354605265,97.78275863422587,98.13877707423356,98.4637604746382,98.75767852952829,99.02050093299246,99.25219737911924,99.4527375619972,99.62209117571496,99.76022791436101,99.86711747202396,99.94272954279243,99.9870338207549,100.0,99.98159777461629,99.93179683869234,99.85056688631668,99.73787761157797,99.59369870856469,99.41799987136544,99.2107507940688,98.97192117076334,98.70148069553764,98.39939906248024,98.06564596567974,97.70019109922468,97.30300415720365,96.87405483370523,96.41331282281794,95.92074781863045,95.39632951523124,94.84002760670889,-2.422982349613534,model E,alpha,v0.5,0.4544330821587196,0.6088512539815851,-0.2922652454568363,0.18639582230353768,43.0,26.0,12.479034110683116
9,Wallvator Boterson,71.0,43.764413979757336,34.23749848228627,26.0688542475552,19.176110080202488,13.478006540782008,8.8945343658059,5.34706682598746,2.75848602268403,1.0533031225399339,0.15777253032948094,0.0,0.510044683914948,1.6200151202969724,3.264159158871191,5.378947824708353,7.903153120268107,10.777919765642404,13.946830876998693,17.35596758322351,20.953962580765907,24.692047626680814,28.524094969872788,32.406652720539455,36.29897415781532,40.163040975615225,43.96358046667832,47.668076644811684,51.24677530533439,54.67268302372097,57.92156009244573,60.97190739602668,63.80494722426923,66.40459802371079,68.75744308726415,70.85269318206248,72.68214311550292,74.24012223949096,75.52343889288507,76.53131878214052,77.26533730015404,77.72934578330873,77.92939170671742,77.87363281766805,77.57224520726832,77.03732532028963,76.2827859032128,75.3242458904716,74.1789142288984,72.86546764036787,71.40392232264409,69.81549958842251,68.12248544257764,66.3480840976056,64.51626542727145,62.65160635845223,60.779126201183885,58.924115916904874,57.11196132490268,55.36796024695887,53.71713359019253,52.18403036810956,50.792526659843574,49.56561850760529,48.5252087523243,47.691887807499015,47.08470837123807,46.720954076508,46.615902079579605,46.78257958667174,47.23151431879912,47.97047891481719,49.00422927266628,50.33423682882198,51.95841477593623,53.870838218687375,56.061458267822005,58.51581007240574,61.2147147902671,64.13397549664023,67.2440670310189,70.50981978219802,73.89009741151813,77.33746851431681,80.79787221957007,84.21027772774269,87.50633778683233,90.61003610661992,93.43732871111189,95.89577922918667,97.8841881234455,99.29221585725715,100.0,99.8777662705215,98.78543351876914,96.5722126456512,93.07619946107307,88.12396148019434,81.53011865786273,73.09691806127664,62.61380248082222,5.051527948554764,model E,beta,v0.5,1.0147295466120712,1.0637722170029984,0.052696621420853074,0.022963173855523475,85.0,46.0,-39.42740049934723
